,Price,Bed,Bath,Toilet,Built or Serviced,Property Type,Area,Purchase Type,Parking Space,Security,Electricity,Furnished,Security Doors,CCTV,BQ,Gym,Pool
25805,1800000.0,3.0,3.0,3.0,Serviced,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25806,600000.0,2.0,2.0,3.0,Newly Built,Blocks of flats,Ajah,rent,0,0,0,0,0,0,0,0,0
25809,1200000.0,4.0,5.0,5.0,Newly Built,Flat / apartment,Ajah,rent,0,1,0,0,0,0,0,0,0
25810,1800000.0,4.0,4.0,5.0,Newly Built,Terraced duplex,Ajah,rent,0,0,0,0,0,0,0,0,0
25811,1100000.0,2.0,2.0,3.0,Furnished,Flat / apartment,Ajah,rent,1,0,0,1,0,0,0,0,0
25814,600000.0,1.0,1.0,2.0,Newly Built,Mini flat,Ajah,rent,0,1,0,0,0,0,0,0,0
25815,800000.0,3.0,3.0,4.0,Newly Built,Blocks of flats,Ajah,rent,0,0,0,0,0,0,0,0,0
25817,350000.0,1.0,2.0,2.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
25826,1000000.0,2.0,2.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25828,750000.0,2.0,2.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25829,500000.0,2.0,3.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25830,900000.0,2.0,2.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25832,2100000.0,4.0,4.0,5.0,Newly Built,Terraced duplex,Ajah,rent,0,0,0,0,0,0,0,0,0
25836,1800000.0,3.0,3.0,4.0,Serviced,Massionette house,Ajah,rent,1,0,0,0,0,1,0,0,0
25838,1800000.0,3.0,4.0,4.0,Serviced,Flat / apartment,Ajah,rent,1,1,0,0,0,0,0,0,0
25839,800000.0,2.0,2.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25842,1800000.0,3.0,4.0,5.0,Newly Built,Terraced duplex,Ajah,rent,0,0,0,0,0,0,0,0,0
25845,1200000.0,3.0,0.0,4.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25849,550000.0,1.0,1.0,2.0,Newly Built,Mini flat,Ajah,rent,0,1,0,0,0,0,0,0,0
25851,1000000.0,3.0,4.0,4.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
25852,800000.0,2.0,2.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25853,600000.0,3.0,3.0,4.0,Furnished,Penthouse flat,Ajah,rent,0,1,0,1,0,0,0,0,0
25854,1800000.0,4.0,4.0,5.0,Newly Built,Terraced duplex,Ajah,rent,0,0,0,0,0,0,0,0,0
25856,550000.0,1.0,1.0,2.0,Furnished,Mini flat,Ajah,rent,0,0,0,1,0,0,0,0,0
25858,800000.0,2.0,2.0,3.0,Serviced,Flat / apartment,Ajah,rent,0,1,0,0,0,0,0,0,0
25866,1000000.0,3.0,3.0,4.0,Furnished,Blocks of flats,Ajah,rent,0,0,0,1,0,0,0,0,0
25867,250000.0,1.0,1.0,2.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
25871,1800000.0,3.0,3.0,4.0,Furnished,Flat / apartment,Ajah,rent,0,1,0,1,0,0,0,0,1
25872,650000.0,3.0,3.0,4.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25873,1800000.0,3.0,3.0,4.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25876,150000.0,1.0,1.0,1.0,Newly Built,Self contain,Ajah,rent,0,0,0,0,0,0,0,0,0
25877,350000.0,1.0,1.0,2.0,Furnished,Mini flat,Ajah,rent,0,1,0,1,0,0,0,0,0
25878,600000.0,1.0,0.0,0.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
25882,750000.0,2.0,2.0,3.0,Newly Built,Self contain,Ajah,rent,0,0,0,0,0,0,0,0,0
25884,1500000.0,3.0,3.0,4.0,Furnished,Flat / apartment,Ajah,rent,0,0,0,1,0,0,0,0,0
25885,2000000.0,3.0,3.0,4.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25887,1000000.0,2.0,2.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25888,1800000.0,3.0,3.0,3.0,Serviced,Flat / apartment,Ajah,rent,1,0,0,1,0,0,0,0,0
25899,1200000.0,2.0,3.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25902,2000000.0,3.0,3.0,4.0,Furnished,Terraced duplex,Ajah,rent,0,1,0,1,0,0,0,0,0
25903,1300000.0,3.0,3.0,4.0,Furnished,Flat / apartment,Ajah,rent,0,0,0,1,0,0,0,0,0
25904,1200000.0,3.0,3.0,4.0,Furnished,Terraced duplex,Ajah,rent,1,1,0,1,0,0,0,0,0
25910,1500000.0,3.0,3.0,4.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25911,900000.0,1.0,1.0,1.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
25918,1000000.0,2.0,2.0,3.0,Serviced,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25929,1200000.0,2.0,2.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25930,800000.0,1.0,1.0,2.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
25934,900000.0,3.0,3.0,4.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25935,2100000.0,4.0,4.0,5.0,Serviced,Terraced duplex,Ajah,rent,0,0,0,0,0,0,0,0,0
25936,1700000.0,3.0,3.0,3.0,Furnished,Flat / apartment,Ajah,rent,0,0,0,1,0,0,0,0,0
25939,350000.0,1.0,1.0,1.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
25949,400000.0,1.0,1.0,1.0,Serviced,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
25950,600000.0,1.0,1.0,2.0,Furnished,Mini flat,Ajah,rent,0,0,0,1,0,0,0,0,0
25951,400000.0,1.0,1.0,2.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
25960,1700000.0,4.0,3.0,4.0,Furnished,Flat / apartment,Ajah,rent,1,0,0,1,0,0,0,0,0
25962,2100000.0,4.0,4.0,5.0,Serviced,Terraced duplex,Ajah,rent,0,0,0,0,0,0,0,0,0
25968,700000.0,1.0,1.0,1.0,Furnished,Mini flat,Ajah,rent,0,0,0,1,0,0,0,0,0
25969,1800000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Ajah,rent,0,0,0,0,0,0,0,0,0
25972,2000000.0,3.0,3.0,4.0,Serviced,Flat / apartment,Ajah,rent,1,1,0,0,0,0,0,1,0
25976,700000.0,2.0,2.0,3.0,Serviced,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
25977,600000.0,2.0,3.0,3.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
25983,2000000.0,3.0,3.0,4.0,Newly Built,Detached duplex,Ajah,rent,0,0,0,0,0,0,0,0,0
25984,1000000.0,3.0,3.0,4.0,Furnished,Flat / apartment,Ajah,rent,0,0,0,1,0,0,0,0,0
25994,1500000.0,3.0,3.0,3.0,Newly Built,Blocks of flats,Ajah,rent,0,0,0,0,0,0,0,0,0
25998,1500000.0,3.0,3.0,4.0,Newly Built,Terraced duplex,Ajah,rent,0,0,0,0,0,1,0,1,0
25999,350000.0,3.0,4.0,4.0,Newly Built,Flat / apartment,Ajah,rent,0,0,0,0,0,0,0,0,0
26005,1000000.0,2.0,3.0,3.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
26006,1000000.0,3.0,3.0,4.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
26015,1000000.0,1.0,1.0,2.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
26065,500000.0,1.0,2.0,2.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
26073,2100000.0,4.0,4.0,5.0,Newly Built,Blocks of flats,Ajah,rent,0,0,0,0,0,0,0,0,0
26074,1100000.0,3.0,4.0,4.0,Newly Built,Detached duplex,Ajah,rent,0,0,0,0,0,0,0,0,0
26078,1500000.0,3.0,4.0,4.0,Newly Built,Blocks of flats,Ajah,rent,0,0,0,0,0,0,0,0,0
26081,900000.0,1.0,2.0,2.0,Newly Built,Mini flat,Ajah,rent,0,0,0,0,0,0,0,0,0
26084,270000.0,1.0,1.0,1.0,Furnished,Mini flat,Ajah,rent,0,0,0,1,0,0,0,0,0
26085,500000.0,1.0,1.0,1.0,Furnished,Mini flat,Ajah,rent,0,1,0,1,0,0,0,0,0
26086,800000.0,2.0,3.0,3.0,Furnished,Flat / apartment,Ajah,rent,0,1,0,1,0,0,0,0,0
26087,1500000.0,4.0,3.0,4.0,Furnished,Detached duplex,Ajah,rent,0,1,0,1,0,0,0,0,0
26088,350000.0,1.0,1.0,1.0,Furnished,Mini flat,Ajah,rent,0,0,0,1,0,0,0,0,0
