,Price,Bed,Bath,Toilet,Built or Serviced,Property Type,Area,Purchase Type,Parking Space,Security,Electricity,Furnished,Security Doors,CCTV,BQ,Gym,Pool
1,33000000.0,4.0,4.0,5.0,Newly Built,Terraced duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
2,38000000.0,4.0,4.0,5.0,Newly Built,Terraced duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
3,38000000.0,3.0,4.0,5.0,Newly Built,Detached bungalow,Ajah,sale,0,1,0,0,1,0,0,0,0
4,23000000.0,2.0,2.0,3.0,Serviced,Blocks of flats,Ajah,sale,0,1,0,0,1,1,0,0,0
5,46000000.0,4.0,5.0,6.0,Newly Built,Semi detached duplex,Ajah,sale,0,1,0,0,1,0,0,0,0
6,33000000.0,4.0,4.0,5.0,Newly Built,Terraced duplex,Ajah,sale,0,1,0,0,1,1,0,0,0
7,35000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
10,97000000.0,5.0,7.0,8.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,1,1,0,0,1
11,55000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,1,0,0,0,0
12,43000000.0,4.0,5.0,5.0,Newly Built,Semi detached duplex,Ajah,sale,0,1,0,0,1,0,0,0,0
13,45000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
15,38000000.0,4.0,4.0,5.0,Newly Built,Terraced duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
16,45000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
18,75000000.0,5.0,5.0,6.0,Newly Built,Terraced duplex,Ajah,sale,0,0,0,0,0,0,0,0,1
19,37000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,1,1,0,0,0
20,23000000.0,2.0,2.0,3.0,Newly Built,Blocks of flats,Ajah,sale,0,1,0,0,1,1,0,0,0
21,60000000.0,4.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,1,1,0,0,0
23,53000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,1,0,0,0,0
24,95000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
25,75000000.0,4.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,1
27,60000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,1,0,0,0,0
28,42000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Ajah,sale,0,1,0,0,1,0,0,0,0
29,45000000.0,4.0,5.0,6.0,Newly Built,Semi detached duplex,Ajah,sale,0,1,0,0,1,0,0,0,0
30,38000000.0,3.0,3.0,4.0,Newly Built,Detached bungalow,Ajah,sale,0,1,0,0,1,0,0,0,0
32,60000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
33,58000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,1,0,0,0,0
34,35000000.0,4.0,4.0,4.0,Newly Built,Terraced duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
36,38000000.0,3.0,3.0,4.0,Newly Built,Detached bungalow,Ajah,sale,0,1,0,0,1,0,0,0,0
38,33000000.0,3.0,3.0,4.0,Furnished,Blocks of flats,Ajah,sale,0,0,0,1,0,0,0,0,0
39,40000000.0,3.0,3.0,5.0,Serviced,Flat / apartment,Ajah,sale,1,1,0,0,0,1,0,0,0
40,45000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Ajah,sale,1,0,0,0,0,0,0,0,0
41,14000000.0,2.0,4.0,4.0,Furnished,Blocks of flats,Ajah,sale,0,0,0,1,0,0,0,0,0
42,58000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
43,22000000.0,3.0,3.0,4.0,Newly Built,Terraced duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
44,42000000.0,3.0,3.0,4.0,Newly Built,Terraced duplex,Ajah,sale,1,1,0,0,1,1,0,1,1
45,16000000.0,3.0,3.0,3.0,Newly Built,Flat / apartment,Ajah,sale,0,0,0,0,0,0,0,0,0
46,50000000.0,4.0,4.0,5.0,Newly Built,Terraced duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
47,42000000.0,4.0,5.0,5.0,Serviced,Semi detached duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
49,18000000.0,2.0,2.0,3.0,Serviced,Flat / apartment,Ajah,sale,0,0,0,0,0,0,0,0,0
52,26000000.0,3.0,3.0,4.0,Newly Built,Terraced duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
53,23000000.0,3.0,3.0,4.0,Furnished,Terraced duplex,Ajah,sale,0,1,0,1,0,0,0,0,0
54,57000000.0,4.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,0,1,0,0,0
55,37000000.0,3.0,3.0,4.0,Newly Built,Massionette house,Ajah,sale,0,0,0,0,0,0,0,0,0
56,40000000.0,4.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
57,35000000.0,2.0,3.0,4.0,Serviced,Terraced duplex,Ajah,sale,0,0,0,0,0,1,0,0,0
58,70000000.0,4.0,5.0,6.0,Furnished,Detached duplex,Ajah,sale,0,1,0,1,0,0,0,0,0
60,40000000.0,4.0,5.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
62,65000000.0,5.0,5.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,1
63,17000000.0,2.0,2.0,3.0,Serviced,Flat / apartment,Ajah,sale,0,1,0,0,0,1,0,0,0
64,30000000.0,4.0,4.0,4.0,Serviced,Semi detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
66,38000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
69,38000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
71,90000000.0,5.0,5.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,1,0,0,1
72,27000000.0,3.0,3.0,4.0,Serviced,Flat / apartment,Ajah,sale,0,0,0,0,0,0,0,0,0
73,50000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,1,0,0,0,0,0,0,0,0
74,46200000.0,4.0,5.0,5.0,Newly Built,Terraced duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
75,38000000.0,4.0,5.0,6.0,Newly Built,Semi detached duplex,Ajah,sale,0,1,0,0,0,1,0,0,0
76,25000000.0,2.0,2.0,3.0,Newly Built,Semi detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
77,47500000.0,4.0,4.0,5.0,Newly Built,Terraced duplex,Ajah,sale,0,1,1,0,0,0,0,0,1
78,45000000.0,3.0,3.0,4.0,Newly Built,Flat / apartment,Yaba,sale,0,0,0,0,0,0,0,0,0
79,40000000.0,3.0,3.0,4.0,Newly Built,Semi detached duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
80,20000000.0,2.0,2.0,3.0,Newly Built,Flat / apartment,Ajah,sale,0,0,0,0,0,0,0,0,0
82,70000000.0,4.0,4.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
83,40000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
85,45000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Ajah,sale,1,0,0,0,0,1,0,0,0
86,35000000.0,3.0,3.0,4.0,Newly Built,Detached bungalow,Ajah,sale,0,0,0,0,0,0,0,0,0
89,17000000.0,2.0,2.0,3.0,Newly Built,Flat / apartment,Ajah,sale,0,0,0,0,0,0,0,0,0
90,75000000.0,5.0,6.0,6.0,Newly Built,Detached duplex,Ajah,sale,1,1,0,0,0,1,0,0,1
91,75000000.0,5.0,6.0,0.0,Serviced,Detached duplex,Ajah,sale,1,1,0,0,0,1,0,0,1
92,60000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
93,36800000.0,4.0,4.0,5.0,Newly Built,Terraced duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
94,55000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,1,1,0,0,1,0,0,0,0
95,45000000.0,4.0,5.0,4.0,Newly Built,Semi detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
96,42000000.0,4.0,4.0,5.0,Serviced,Semi detached duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
97,20950000.0,4.0,4.0,5.0,Serviced,Terraced duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
99,33000000.0,4.0,4.0,5.0,Newly Built,Terraced duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
100,36500000.0,3.0,3.0,4.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
103,27000000.0,3.0,3.0,3.0,Newly Built,Semi detached bungalow,Ajah,sale,0,0,0,0,0,0,0,0,0
104,18900000.0,1.0,2.0,2.0,Serviced,Mini flat,Ajah,sale,0,0,0,0,0,0,0,0,0
107,60000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
108,55000000.0,5.0,6.0,6.0,Newly Built,Detached duplex,Ajah,sale,1,1,0,0,0,1,0,0,0
111,38000000.0,4.0,4.0,5.0,Serviced,Semi detached duplex,Ajah,sale,1,1,1,0,0,1,0,0,0
112,28000000.0,3.0,3.0,4.0,Serviced,Flat / apartment,Ajah,sale,0,1,0,0,0,0,0,0,0
113,48000000.0,4.0,5.0,6.0,Newly Built,Semi detached duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
115,60000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,0,0,0,1,1
116,57000000.0,4.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,1,0,0,0
118,70000000.0,5.0,5.0,6.0,Serviced,Detached duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
119,55000000.0,5.0,5.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
120,50000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
121,42000000.0,3.0,3.0,4.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
122,40000000.0,6.0,6.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
123,42000000.0,4.0,5.0,5.0,Serviced,Semi detached duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
124,27000000.0,3.0,2.0,3.0,Newly Built,Detached bungalow,Ajah,sale,0,1,0,0,1,0,0,0,0
125,70000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,1,1,0,0,1,1,0,0,1
127,65000000.0,5.0,5.0,6.0,Newly Built,Terraced duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
131,30000000.0,4.0,4.0,5.0,Furnished,Detached bungalow,Ajah,sale,0,1,1,1,0,0,0,0,0
132,50000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
134,60000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,1,0,0,0,0
136,33000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Ajah,sale,0,1,0,0,0,1,0,0,0
139,58000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
141,34000000.0,3.0,3.0,4.0,Newly Built,Detached bungalow,Ajah,sale,0,1,0,0,1,0,0,0,0
142,75000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,1,0,0,0,1
143,53000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,1,0,0,0,0
144,45000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
145,45000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
147,75000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,1,0,0,0,0,0,0,0,1
148,55000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
149,45000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Ajah,sale,1,1,0,0,0,1,0,0,0
150,69000000.0,5.0,6.0,7.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,1,0,0,0,0
151,50000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,1,0,0,0,0
152,50000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
153,65000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
154,68000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,1,1,0,0,0,1,0,0,0
155,35000000.0,4.0,4.0,5.0,Newly Built,Terraced duplex,Ajah,sale,1,0,0,0,0,0,0,0,0
156,75000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
157,54000000.0,4.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,1,1,0,0,0
159,55000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
160,42500000.0,4.0,6.0,7.0,Serviced,Semi detached duplex,Ajah,sale,0,1,0,0,0,0,0,1,1
162,60000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,1,0,0,0
163,40000000.0,4.0,4.0,5.0,Furnished,Semi detached duplex,Ajah,sale,0,0,0,1,0,0,0,0,0
165,42000000.0,4.0,4.0,5.0,Furnished,Semi detached duplex,Ajah,sale,0,1,0,1,0,0,0,0,0
166,50000000.0,1.0,1.0,2.0,Newly Built,Self contain,Lekki phase 1,sale,0,0,0,0,0,0,0,1,1
167,23500000.0,3.0,3.0,3.0,Furnished,Flat / apartment,Ajah,sale,0,0,1,1,0,1,0,1,0
168,58000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,1,1,0,0,0,1,0,0,0
169,75000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
170,80000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,0,0,0,0,1
171,55000000.0,4.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,1,1,0,0,0
172,35000000.0,4.0,5.0,5.0,Furnished,Detached bungalow,Ajah,sale,0,1,0,1,0,0,0,0,0
173,48000000.0,5.0,6.0,7.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,0,1,0,0,0
174,55000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,1
175,58000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
176,60000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
177,43000000.0,3.0,3.0,4.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,1,0,0,0,0
178,75000000.0,5.0,6.0,7.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,1,0,0,0,1
179,35000000.0,2.0,2.0,2.0,Serviced,Terraced duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
180,75000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,1,0,0,0,0
182,35000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,1,1,0,0,1,0,0,0,0
183,55000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,0,1,0,0,0
184,85000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
186,45000000.0,4.0,4.0,5.0,Newly Built,Terraced duplex,Ajah,sale,0,1,0,0,0,1,0,0,1
188,45000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
189,53000000.0,4.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,1,1,0,0,1,1,0,0,0
190,85000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
191,45000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Ajah,sale,0,1,0,0,0,1,0,0,0
192,29000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,1,1,0,0,1,0,0,0,0
193,22000000.0,2.0,2.0,2.0,Furnished,Flat / apartment,Ajah,sale,1,1,1,1,0,0,0,0,0
194,49000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
195,42000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
196,40000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Ajah,sale,1,0,0,0,0,0,0,0,0
197,45000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,0,1,0,0,0
198,75000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,1,0,0,0,1
199,50000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
202,13000000.0,1.0,1.0,2.0,Serviced,Mini flat,Ajah,sale,0,1,0,0,0,0,0,0,0
205,50000000.0,4.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,1,1,0,0,1,1,0,0,0
206,63000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
207,50000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
208,55000000.0,4.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,1,0,0,0,0
209,40000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
211,55000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
213,60000000.0,5.0,5.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
214,45000000.0,4.0,6.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
216,55000000.0,4.0,4.0,4.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
217,55000000.0,4.0,4.0,4.0,Furnished,Detached duplex,Ajah,sale,0,0,0,1,0,0,0,0,0
218,65000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
219,60000000.0,4.0,4.0,4.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
220,55000000.0,5.0,5.0,5.0,Newly Built,Detached duplex,Ajah,sale,1,0,0,0,0,0,0,0,0
223,52000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
224,55000000.0,5.0,7.0,7.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
225,80000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
226,75000000.0,5.0,5.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,1
227,60000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
229,50000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
230,77000000.0,3.0,3.0,3.0,Newly Built,Flat / apartment,Ajah,sale,1,1,0,0,0,0,0,0,0
231,60000000.0,4.0,6.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
232,55000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,1,1,0,0,0,0,0,0,0
233,30000000.0,3.0,4.0,4.0,Furnished,Semi detached duplex,Ajah,sale,1,1,1,1,0,0,0,0,0
234,55000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
235,90000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,1,1
236,75000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,1
237,60000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,1,0,0,0,1,0,0,0
238,32000000.0,2.0,4.0,4.0,Furnished,Terraced duplex,Ajah,sale,0,1,1,1,0,0,0,1,1
240,48000000.0,4.0,5.0,5.0,Furnished,Semi detached duplex,Ajah,sale,0,0,0,1,0,0,0,0,0
242,60000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
245,40000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
246,45000000.0,4.0,4.0,5.0,Serviced,Semi detached duplex,Ajah,sale,0,1,0,0,0,1,0,0,0
247,46000000.0,3.0,3.0,4.0,Newly Built,Flat / apartment,Ajah,sale,0,0,0,0,0,0,0,0,0
248,55000000.0,5.0,6.0,6.0,Furnished,Detached duplex,Ajah,sale,0,0,0,1,0,0,0,0,0
250,27000000.0,2.0,3.0,3.0,Furnished,Blocks of flats,Ajah,sale,0,1,1,1,0,0,0,1,1
252,39500000.0,4.0,4.0,5.0,Serviced,Terraced duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
253,60000000.0,4.0,4.0,5.0,Serviced,Detached duplex,Ajah,sale,0,1,1,0,0,0,0,0,0
254,85000000.0,5.0,5.0,6.0,Serviced,Semi detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
255,20000000.0,3.0,3.0,4.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
256,24500000.0,2.0,2.0,2.0,Newly Built,Mini flat,Ajah,sale,0,0,0,0,0,0,0,0,0
259,31000000.0,3.0,3.0,3.0,Serviced,Terraced duplex,Ajah,sale,0,1,1,0,0,0,0,0,0
261,53000000.0,4.0,5.0,4.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,1,0,0,0
262,40000000.0,4.0,4.0,4.0,Serviced,Semi detached duplex,Ajah,sale,0,1,1,0,0,0,0,0,0
264,31000000.0,3.0,4.0,4.0,Newly Built,Terraced duplex,Ajah,sale,1,0,0,0,0,0,0,0,0
265,39500000.0,3.0,3.0,3.0,Serviced,Terraced duplex,Ajah,sale,1,1,0,0,1,1,0,1,1
266,14000000.0,3.0,3.0,4.0,Serviced,Semi detached bungalow,Ajah,sale,0,0,1,0,0,0,0,0,0
267,60000000.0,4.0,4.0,5.0,Furnished,Semi detached duplex,Ajah,sale,0,0,0,1,0,0,0,0,0
268,37000000.0,4.0,4.0,5.0,Serviced,Terraced duplex,Ajah,sale,0,0,1,0,0,0,0,0,1
269,42000000.0,4.0,4.0,4.0,Serviced,Semi detached duplex,Ajah,sale,0,1,0,0,0,0,0,0,0
273,53000000.0,3.0,3.0,4.0,Serviced,Semi detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
274,19000000.0,2.0,2.0,2.0,Serviced,Mini flat,Ajah,sale,0,1,1,0,0,0,0,0,0
276,30000000.0,3.0,3.0,4.0,Newly Built,Semi detached duplex,Ajah,sale,1,1,1,0,0,0,0,0,0
280,70000000.0,5.0,5.0,5.0,Serviced,Detached duplex,Ajah,sale,0,0,0,0,0,1,0,0,1
281,24000000.0,3.0,3.0,3.0,Serviced,Mini flat,Ajah,sale,0,1,1,0,0,0,0,0,0
286,35000000.0,4.0,4.0,5.0,Newly Built,Terraced duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
287,18000000.0,4.0,4.0,5.0,Newly Built,Detached bungalow,Ajah,sale,0,0,0,0,0,0,0,0,0
289,53000000.0,3.0,4.0,4.0,Serviced,Semi detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
290,27000000.0,2.0,2.0,2.0,Serviced,Blocks of flats,Ajah,sale,0,0,0,0,0,0,0,0,0
292,35000000.0,3.0,3.0,4.0,Newly Built,Flat / apartment,Ajah,sale,0,0,0,0,0,1,0,0,0
296,35000000.0,4.0,4.0,5.0,Newly Built,Detached bungalow,Ajah,sale,0,0,0,0,0,0,0,0,0
299,55000000.0,4.0,4.0,4.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,1,0,0,0
302,27000000.0,3.0,3.0,4.0,Furnished,Detached bungalow,Ajah,sale,0,0,0,1,0,1,0,0,0
303,35000000.0,4.0,5.0,5.0,Furnished,Detached duplex,Ajah,sale,0,0,1,1,0,0,0,0,0
304,45000000.0,5.0,5.0,6.0,Furnished,Detached bungalow,Ajah,sale,0,0,0,1,0,0,0,0,0
305,18000000.0,3.0,3.0,4.0,Newly Built,Semi detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
306,38000000.0,4.0,4.0,4.0,Newly Built,Semi detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
307,27000000.0,2.0,2.0,2.0,Serviced,Blocks of flats,Ajah,sale,0,0,0,0,0,0,0,0,0
308,60000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Lekki,sale,0,0,1,0,0,1,0,1,1
309,38000000.0,4.0,4.0,4.0,Newly Built,Semi detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
310,43000000.0,3.0,4.0,5.0,Furnished,Detached bungalow,Ajah,sale,0,1,0,1,0,1,0,0,0
311,19000000.0,3.0,3.0,3.0,Newly Built,Flat / apartment,Ajah,sale,0,0,0,0,0,0,0,0,0
313,28000000.0,3.0,3.0,4.0,Furnished,Terraced duplex,Ajah,sale,0,0,0,1,0,0,0,0,0
314,35000000.0,3.0,3.0,3.0,Serviced,Detached duplex,Ajah,sale,0,0,1,0,0,1,0,1,0
315,35000000.0,3.0,4.0,4.0,Furnished,Detached duplex,Ajah,sale,0,0,0,1,0,1,0,0,0
316,75000000.0,5.0,5.0,6.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
317,75000000.0,5.0,5.0,6.0,Serviced,Detached duplex,Ajah,sale,0,0,0,0,0,1,0,0,1
318,27000000.0,4.0,4.0,5.0,Newly Built,Semi detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
319,60000000.0,5.0,5.0,6.0,Newly Built,Semi detached duplex,Ajah,sale,0,0,0,0,0,1,0,0,0
322,50000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Ajah,sale,0,0,0,0,0,0,0,0,0
323,60000000.0,4.0,4.0,5.0,Furnished,Detached duplex,Ajah,sale,0,0,0,1,0,0,0,0,0
324,1700000.0,4.0,5.0,5.0,Furnished,Detached duplex,Ajah,sale,0,0,0,1,0,0,0,0,0
