,Price,Bed,Bath,Toilet,Built or Serviced,Property Type,Area,Purchase Type,Parking Space,Security,Electricity,Furnished,Security Doors,CCTV,BQ,Gym,Pool
12748,62000000.0,4.0,4.0,4.0,Newly Built,Semi detached duplex,Lekki,sale,0,0,0,0,0,0,0,0,0
12749,135000000.0,4.0,4.0,5.0,Newly Built,Detached duplex,Lekki,sale,1,0,0,0,0,0,0,0,0
12750,50000000.0,4.0,4.0,5.0,Serviced,Semi detached duplex,Lekki,sale,0,1,0,0,0,0,0,0,0
12751,45000000.0,4.0,4.0,5.0,Serviced,Terraced duplex,Lekki,sale,1,1,0,0,0,0,0,0,1
12752,135000000.0,4.0,5.0,5.0,Newly Built,Detached duplex,Lekki,sale,1,0,0,0,0,0,0,0,0
12753,35000000.0,2.0,2.0,3.0,Serviced,Flat / apartment,Lekki,sale,1,0,0,0,0,0,0,0,0
12754,130000000.0,4.0,4.0,5.0,Serviced,Semi detached duplex,Lekki phase 1,sale,0,0,0,0,0,0,0,0,0
12755,45000000.0,3.0,3.0,4.0,Newly Built,Massionette house,Lekki,sale,1,0,0,0,0,0,0,0,0
12756,120000000.0,4.0,3.0,4.0,Newly Built,Semi detached duplex,Lekki phase 1,sale,0,0,0,0,0,0,0,0,0
12757,75000000.0,4.0,4.0,5.0,Furnished,Terraced duplex,Lekki phase 1,sale,0,0,0,1,0,0,0,0,0
12758,60000000.0,4.0,4.0,5.0,Furnished,Semi detached duplex,Lekki,sale,1,1,0,1,1,1,0,0,0
12761,47000000.0,4.0,4.0,5.0,Furnished,Semi detached duplex,Lekki,sale,0,1,0,1,0,1,0,0,0
12763,55000000.0,4.0,4.0,5.0,Furnished,Flat / apartment,Lekki,sale,0,1,0,1,0,1,0,0,0
12766,40000000.0,4.0,4.0,5.0,Furnished,Terraced duplex,Lekki,sale,0,1,0,1,0,0,0,0,0
12769,40000000.0,4.0,4.0,5.0,Furnished,Terraced duplex,Lekki,sale,0,1,0,1,0,0,0,0,0
12770,70000000.0,5.0,5.0,6.0,Furnished,Detached duplex,Lekki,sale,0,1,0,1,0,0,0,0,0
